course_id,course_title,course_title_english,course_description,subdomain_id,course_url
AAA0008,GPS DAN PENYIASATAN TANAH SEPARA LENGKAP (UPSKILLING-PP),GPS and complete partial land investigation (upskilling-PP),"This course offers a deep dive into GPS and, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of GPS practices.",96,
AAA0010,SISTEM KOORDINAT DI MALAYSIA (UPSKILLING-PP),Coordinate System in Malaysia (Upskilling-PP),"This course offers a deep dive into Coordinate System, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Coordinate practices.",96,
AAA0012,UPSKILLING TANAMAN TEMBIKAI (UPSKILLING-PP),Upskilling watermelon (upskilling-pp),"This course offers a deep dive into Upskilling watermelon, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Upskilling practices.",92,
AAA0014,MINEROLOGI BATUAN DAN GEOLOGI (UPSKILLING-PP),Minerology of rock and geology (upskilling-PP),"This course offers a deep dive into Minerology of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Minerology practices.",96,
AAA0015,UPSKILLING DAN RESKILLING PENGURUSAN TANAMAN DURIAN (UPSKILLING-PP),Upskilling and Reskilling Durian Crop Management (Upskilling-PP),"This course offers a deep dive into Upskilling and, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Upskilling practices.",92,
AAA0017,PENGURUSAN PEROSAK BERSEPADU (PENDEKATAN & KOMPONEN KESULURUHAN IPM) (UPSKILLING-GS),Integrated Pest Management (IPM Approach & Components) (Upskilling-GS),"This course offers a deep dive into Integrated Pest, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Integrated practices.",95,
AAA0018,TEKNOLOGI PERTANIAN PINTAR (SMART FARMING) (UPSKILLING-GS),Smart Farming Technology (Upskilling-GS),"This course offers a deep dive into Smart Farming, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Smart practices.",92,
AAA0019,PEMANTAPAN TANAMAN SAYURAN SECARA IOT DAN BERTEKNOLOGI (UPSKILLING-GS),IoT and Technological Vegetable Plants (Upskilling-GS),"This course offers a deep dive into IoT and, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of IoT practices.",94,
AAA0020,TEKNOLOGI DAN PENANAMAN FERTIGASI MELON (UPSKILLING-GS),Melon Fertility Technology and cultivation (Upskilling-GS),"This course offers a deep dive into Melon Fertility, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Melon practices.",92,
AAA0021,UPSKILLING TANAMAN DURIAN (UPSKILLING-GS),Upskilling of durian crop (upskilling-GS),"This course offers a deep dive into Upskilling of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Upskilling practices.",92,
AAA0024,UPSKILLING TANAMAN KELAPA (UPSKILLING-GS),Upskilling Coconut Crop (Upskilling-GS),"This course offers a deep dive into Upskilling Coconut, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Upskilling practices.",92,
AAA0026,BENGKEL PENYELARASAN PELAKSANAAN DTIMS BAGI PENGURUSAN TEKNIKAL PERTANIAN (UPSKILLING) JABATAN PERTANIAN,DIMS Implementation Coordination Workshop on Agricultural Technical Management (UPSKILLING) Agriculture Department,"This course offers a deep dive into DIMS Implementation, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of DIMS practices.",2,
AAA0029,KESELAMATAN DAN KUALITI MAKANAN (UPSKILLING-PP),Food Safety and Quality (Upskilling-PP),"This course offers a deep dive into Food Safety, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Food practices.",90,
BZA0001,"EKOSISTEM KONDUSIF SEKTOR AWAM (EKSA) PRINSIP, PROSEDUR DAN AMALAN","Public Sector conducive ecosystem (EKSA) principles, procedures and practices","This course offers a deep dive into Public Sector, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Public practices.",103,
BZA0002,AUDIT DALAM EKOSISTEM KONDUSIF SEKTOR AWAM (EKSA),Audit in the Public Sector conducive ecosystem (EKSA),"This course offers a deep dive into Audit in, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Audit practices.",103,
BZA0003,"PROTOKOL, ETIKET SOSIAL DAN PENGURUSAN MAJLIS","Protocols, Social Ethics and Council Management","This course offers a deep dive into Protocols, Social, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Protocols, practices.",113,
BZA0004,HORIZON BAHARU KUMPULAN INOVATIF DAN KREATIF (KIK),HORIZON BAHARU KUMPULAN INOVATIF DAN KREATIF (KIK),"This course offers a deep dive into HORIZON BAHARU, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of HORIZON practices.",56,
BZA0005,MASTERING INNOVATION THROUGH DESIGN THINKING,Mastering Innovation Thinking Design Thinking,"This course offers a deep dive into Mastering Innovation, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Mastering practices.",148,
BZA0006,IMEJ DAN KETERAMPILAN,Images and skills,"This course offers a deep dive into Images and, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Images practices.",35,
BZA0007,TATACARA PENGURUSAN STOR KERAJAAN,Government Store Management Procedure,"This course offers a deep dive into Government Store, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Government practices.",41,
BZA0008,PENGURUSAN PEROLEHAN KERAJAAN,Government procurement management,"This course offers a deep dive into Government procurement, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Government practices.",48,
BZA0010,PENGUKUHAN PASUKAN,The strengthening of the team,"This course offers a deep dive into The strengthening, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of The practices.",64,
BZA0011,PROFESIONALISME DIRI UNGGUL,Professionalism Solid Self,"This course offers a deep dive into Professionalism Solid, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Professionalism practices.",35,
BZA0012,MYPORTFOLIO,Myportfolio,"Explore the nuances of Myportfolio with a detailed curriculum designed to cover both foundational and advanced concepts, catering to learners who wish to excel in this area.",59,
BZA0013,BENGKEL PENGURUSAN BUKU PERKHIDMATAN KERAJAAN,Government Service Book Management Workshop,"This course offers a deep dive into Government Service, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Government practices.",59,
BZA0014,PENGURUSAN SUMBER MANUSIA BAHARU HUMAN RESOURCE CHAMPIONS (MODUL PENGURUSAN PERKHIDMATAN DAN PRESTASI),Human Resource Champions New Human Resource Management (Service and Performance Management Module),"This course offers a deep dive into Human Resource, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Human practices.",59,
BZA0015,ETIKA KERJA GAMIFIKASI,Gamification work ethics,"This course offers a deep dive into Gamification work, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Gamification practices.",64,
BZA0017,"PENGURUSAN SUMBER MANUSIA BAHARU HUMAN RESOURCE CHAMPIONS (MODUL PENGURUSAN GAJI, ELAUN DAN KEMUDAHAN)","Human Resource Champions New Human Resource Management (Salary Management Module, Allowance and Facilities)","This course offers a deep dive into Human Resource, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Human practices.",59,
BZA0018,PENGURUSAN SUMBER MANUSIA BAHARU HUMAN RESOURCE CHAMPIONS (MODUL PENGURUSAN TATATERTIB),Human Resource Champions New Human Resource Management (Disciplinary Management Module),"This course offers a deep dive into Human Resource, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Human practices.",59,
BZA0019,DIGITAL MARKETING WORKSHOP,Digital Marketing Workshop,"This course offers a deep dive into Digital Marketing, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Digital practices.",2,
BZA0020,GET CREATIVE DESKTOP PUBLISHING DESIGN SOFTWARE,Get Creative Desktop Publishing Design Software,"This course offers a deep dive into Get Creative, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Get practices.",72,
BZA0021,ASAS PERKHIDMATAN DALAM PERKHIDMATAN AWAM,The basis of service in the public service,"This course offers a deep dive into The basis, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of The practices.",59,
BZA0022,PROSEDUR KEWANGAN (ASAS),Financial Procedures (Basic),"This course offers a deep dive into Financial Procedures, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Financial practices.",42,
BZA0025,PENGURUSAN ASET ALIH,Moving Asset Management,"This course offers a deep dive into Moving Asset, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Moving practices.",41,
BZA0027,NEGARA BANGSA,Nation,"Explore the nuances of Nation with a detailed curriculum designed to cover both foundational and advanced concepts, catering to learners who wish to excel in this area.",35,
BZA0028,PENGAKTIFAN AMANAH DALAM ORGANISASI,Trust activation in organization,"This course offers a deep dive into Trust activation, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Trust practices.",81,
BZA0029,MICROSOFT POWER BI ESSENTIALS,Microsoft Power Bi Essentials,"This course offers a deep dive into Microsoft Power, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Microsoft practices.",5,
BZA0030,PENGURUSAN PELANGGAN,Customer management,"Explore the nuances of Customer management with a detailed curriculum designed to cover both foundational and advanced concepts, catering to learners who wish to excel in this area.",114,
BZA0031,KECERDASAN MINDA PETUGAS BARISAN HADAPAN,Intelligence of the front -line staff mind,"This course offers a deep dive into Intelligence of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Intelligence practices.",114,
BZA0032,FAEDAH DAN PENGURUSAN PERSARAAN APA BAKAL PESARA PERLU TAHU?,Benefits and Retirement Management What Retirees need to know?,"This course offers a deep dive into Benefits and, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Benefits practices.",59,
