Kod_Kursus,Nama_Kursus,Tahun_Kursus,Tempoh_Kursus,Bidang,Sub_Bidang,Skim_Gred,Skim_Kod,Nama_Skim
BZA0001,"Kursus Ekosistem Kondusif Sektor Awam (EKSA): Prinsip, Prosedur dan Amalan",2024,3,PENGURUSAN,Pengurusan Persekitaran,AL44,A,Pengangkutan
BZA0002,Kursus Audit Dalam Ekosistem Kondusif Sektor Awam (EKSA),2023,2,PENGURUSAN,Pengurusan Persekitaran,A36,A,Pengangkutan
BZA0003,"Kursus Protokol, Etiket Sosial dan Pengurusan Majlis",2022,4,KOMUNIKASI,Protokol dan Pengurusan Majlis,AL44,A,Pengangkutan
BZA0006,Kursus Imej dan Keterampilan,2023,3,PEMBANGUNAN DIRI DAN SAHSIAH,Keyakinan Diri,A22,A,Pengangkutan
BZA0007,Kursus Tatacara Pengurusan Stor Kerajaan,2024,3,KEWANGAN,Pengurusan Aset dan Stor,AB29,A,Pengangkutan
BZA0008,Kursus Pengurusan Perolehan Kerajaan,2022,4,KEWANGAN,Perolehan,A48,A,Pengangkutan
BZA0009,Program Transformasi Minda,2021,5,MANDATORI,Program Transformasi Minda,A19,A,Pengangkutan
BZA0010,Kursus Pengukuhan Pasukan,2022,4,PEMBANGUNAN DIRI DAN SAHSIAH,Pengukuhan Pasukan,A19,A,Pengangkutan
BZA0011,Kursus Profesionalisme Diri Unggul,2021,2,PEMBANGUNAN DIRI DAN SAHSIAH,Keyakinan Diri,A29,A,Pengangkutan
BZA0012,Kursus MyPortfolio,2022,3,PENGURUSAN,Sumber Manusia (Perkhidmatan),A19,A,Pengangkutan
BZA0014,"Kursus Pengurusan Sumber Manusia Baharu ""Human Resource Champions"" (Modul Pengurusan Perkhidmatan dan Prestasi)",2023,3,PENGURUSAN,Sumber Manusia (Perkhidmatan),A41,A,Pengangkutan
BZA0015,Kursus Etika Kerja: Gamifikasi,2024,2,PEMBANGUNAN DIRI DAN SAHSIAH,Keperibadian dan Profesionalisme,AB19,A,Pengangkutan
BZA0017,"Kursus Pengurusan Sumber Manusia Baharu ""Human Resource Champions"" (Modul Pengurusan Gaji, Elaun dan Kemudahan)",2024,3,PENGURUSAN,Sumber Manusia (Perkhidmatan),AB19,A,Pengangkutan
BZA0018,"Kursus Pengurusan Sumber Manusia Baharu ""Human Resource Champions"" (Modul Pengurusan Tatatertib)",2023,3,PENGURUSAN,Sumber Manusia (Perkhidmatan),A41,A,Pengangkutan
BZA0021,Kursus Asas  Perkhidmatan dalam Perkhidmatan Awam,2023,3,PENGURUSAN,Sumber Manusia (Perkhidmatan),A19,A,Pengangkutan
BZA0023,Kursus Penyeliaan Berkesan (Asas),2021,2,KEPIMPINAN,Kepimpinan,A40,A,Pengangkutan
BZA0025,Kursus Pengurusan Aset Alih,2021,1,KEWANGAN,Pengurusan Aset dan Stor,AL41,A,Pengangkutan
BZA0030,Kursus Pengurusan Pelanggan,2021,2,KOMUNIKASI,Pengurusan Pelanggan,A19,A,Pengangkutan
BZA0031,Kursus Kecerdasan Minda Petugas Barisan Hadapan,2024,3,KOMUNIKASI,Pengurusan Pelanggan,A29,A,Pengangkutan
BZA0034,Kursus Smart Integriti,2023,1,PEMBANGUNAN DIRI DAN SAHSIAH,Keperibadian dan Profesionalisme,A19,A,Pengangkutan
BZA0037,Kursus Pengurusan Kenderaan,2023,3,PENGURUSAN,Sumber Manusia (Perkhidmatan),AB19,A,Pengangkutan
BZA0040,"Kursus Penulisan Dokumen Rasmi Kerajaan (Surat Rasmi, Memo dan E-Mel)",2023,2,BAHASA,Bahasa Melayu,AL41,A,Pengangkutan
BZA0041,Kursus Pemandu Cemerlang,2023,3,PEMBANGUNAN DIRI DAN SAHSIAH,Keperibadian dan Profesionalisme,A11,A,Pengangkutan
BZA0042,Kursus Kecemerlangan Diri,2024,3,PEMBANGUNAN DIRI DAN SAHSIAH,Keperibadian dan Profesionalisme,A19,A,Pengangkutan
BZA0044,RBTCS: Infographic Using Powerpoint,2022,3,ICT,Produktiviti Desktop,A22,A,Pengangkutan
BZA0053,Human Resource Champion Modul 1: Perancangan Dan Pembangunan Organisasi,2023,3,PENGURUSAN,Sumber Manusia (Perkhidmatan),A41,A,Pengangkutan
