course_id,title,job_role,skills_required,sub_skills_required,description,subdomain_id,subdomain_name
KCA0038,Fundamentals of Enterprise Architecture,,,,"Dive into the world of enterprise architecture with a focus on the strategies, frameworks, and tools needed to streamline operations and drive organizational growth. Understand how to integrate IT resources with business objectives for long-term success.",1,
KCA0044,DEVELOPMENT OF STRATEGIC PLAN DEVELOPMENT (PSP),,,,Master the art of strategic planning with a focus on digital transformation. This course empowers participants to develop comprehensive strategies that align with organizational objectives while leveraging the latest digital tools and trends.,1,
KCA0054,Cloud Computing,,,,"Explore the essentials of cloud computing, including cloud architecture, service models, and deployment strategies. Learn how to manage and optimize cloud environments to ensure scalability, security, and efficiency.",1,
KCA0051,IT Change Management Foundations,,,,"This course offers a deep dive into It Change, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of It practices.",1,
KCA0083,Refresher DGCCR Certified Trainers,,,,"Enhance your skills as a DGCCR-certified trainer with this refresher course. Stay updated with the latest techniques in curriculum delivery, engagement strategies, and training methodologies to elevate your impact as an instructor.",1,
KCB0020,DGCCR Certified Trainers,,,,"Enhance your skills as a DGCCR-certified trainer with this refresher course. Stay updated with the latest techniques in curriculum delivery, engagement strategies, and training methodologies to elevate your impact as an instructor.",1,
KCB0019,Archimate 3 Foundation,,,,"This course offers a deep dive into Archimate 3, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Archimate practices.",1,
KCA0119,Enterprise Architecture Model Language,,,,"Dive into the world of enterprise architecture with a focus on the strategies, frameworks, and tools needed to streamline operations and drive organizational growth. Understand how to integrate IT resources with business objectives for long-term success.",1,
KCA0127,Review Workshop and Review of IMATEC Annual Work Targets,,,,"This course offers a deep dive into Review Workshop, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Review practices.",1,
KCA0007,Analyzing and Visualizing Data Using Excel,,,,"This course offers a deep dive into Analyzing and, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Analyzing practices.",2,
KCA0009,Microsoft Visio 2016,,,,"This course offers a deep dive into Microsoft Visio, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Microsoft practices.",2,
WZA0051,Blockchain Awareness Program - 101,,,,"This course offers a deep dive into Blockchain Awareness, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Blockchain practices.",2,
WZA0032,Maximizing PowerPivot Data Analysis,,,,"This course offers a deep dive into Maximizing PowerPivot, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Maximizing practices.",2,
TZA0028,Infographics Using PowerPoint,,,,"This course offers a deep dive into Infographics Using, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Infographics practices.",2,
TZA0029,Microsoft Office 2016 Tips & Tricks,,,,"This course offers a deep dive into Microsoft Office, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Microsoft practices.",2,
TZA0040,Effective slide presentation and high impact presentation,,,,"This course offers a deep dive into Effective slide, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Effective practices.",2,
KCA0020,Power Bi Essentials,,,,"This course offers a deep dive into Power Bi, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Power practices.",2,
WZA0044,"Adobe Photoshop CS4, CS5, CS6 & CC (Basic Advanced)",,,,"This course offers a deep dive into Adobe Photoshop, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Adobe practices.",2,
WZA0053,MODULE 20779A ANALYZING DATA WITH EXCEL,,,,"This course offers a deep dive into MODULE 20779A, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of MODULE practices.",2,
WZA0052,Insights to Big Data,,,,"This course offers a deep dive into Insights to, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Insights practices.",2,
KCA0039,Dashboard Reporting,,,,"Explore the nuances of Dashboard Reporting with a detailed curriculum designed to cover both foundational and advanced concepts, catering to learners who wish to excel in this area.",2,
KCA0034,Microsoft Azure Fundamentals,,,,"This course offers a deep dive into Microsoft Azure, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Microsoft practices.",2,
KCA0028,Data Science Fundamentals,,,,"This course offers a deep dive into Data Science, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Data practices.",2,
KCA0027,Excel and PowerPoint Productivity Hacks for Presenter,,,,"This course offers a deep dive into Excel and, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Excel practices.",2,
KCA0046,Data Science for Big Data Analytics,,,,"This course offers a deep dive into Data Science, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of data practices.",2,
KCA0053,Microsoft Azure Ai Fundamentals,,,,"This course offers a deep dive into Microsoft Azure, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Microsoft practices.",2,
WZA0046,"Adobe Illustrator CS4, CS5, CS6 & CC (Basic Advanced)",,,,"This course offers a deep dive into Adobe Illustrator, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Adobe practices.",2,
KA0001,Basis of Public Complaint Management System (SISPAA),,,,"This course offers a deep dive into Basis of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Basis practices.",2,
KCA0057,Machine Learning for Data Science,,,,"This course offers a deep dive into Machine Learning, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Machine practices.",2,
KCE1001,Digital Government DPA module,,,,"This course offers a deep dive into Digital Government, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Digital practices.",2,
UZA0040,Data Science Series Analysing and Imagining Data Using Excel,,,,"This course offers a deep dive into Data Science, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Data practices.",2,
KCB0008,"Microsoft Excel 2016 Step by Step (Intro, Intermediate & Advanced) + MOS Exam",,,,"This course offers a deep dive into Microsoft Excel, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Microsoft practices.",2,
SZA0007,Analyzing Data with Excel,,,,"This course offers a deep dive into Analyzing Data, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Analyzing practices.",2,
BZA0019,Digital Marketing Workshop,,,,"This course offers a deep dive into Digital Marketing, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Digital practices.",2,
UZA0037,Playworks - Excel Fun Formulas,,,,"This course offers a deep dive into Playworks -, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Playworks practices.",2,
KCA0065,Material Development Using Ispring Software,,,,"This course offers a deep dive into Material Development, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Material practices.",2,
KCB0012,Introduction to Python for Machine Learning & Computer Vision,,,,"This course offers a deep dive into Introduction to, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Introduction practices.",2,
KCA0077,IR4.0 Training Module Development Workshop,,,,"This course offers a deep dive into IR4.0 Training, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of IR4.0 practices.",2,
KCA0079,Exploring Data Analytics with SpeedMiner,,,,"This course offers a deep dive into Exploring Data, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Exploring practices.",2,
KCA0084,Big Data Analytics Using Speedminer (Fundamentals),,,,"This course offers a deep dive into Big Data, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Big practices.",2,
WZA0064,Insight to Digital Marketing,,,,"This course offers a deep dive into Insight to, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Insight practices.",2,
TZA0047,Adobe Premier,,,,"Explore the nuances of Adobe Premier with a detailed curriculum designed to cover both foundational and advanced concepts, catering to learners who wish to excel in this area.",2,
TZA0046,Excel and PowerPoint Productivity Hacks for Presenter,,,,"This course offers a deep dive into Excel and, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Excel practices.",2,
KCA0089,DIMS Cultural Workshop,,,,"This course offers a deep dive into DIMS Cultural, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of DIMS practices.",2,
DDA0014,Myspa,,,,"Explore the nuances of Myspa with a detailed curriculum designed to cover both foundational and advanced concepts, catering to learners who wish to excel in this area.",2,
KCA0094,Train of Trainer Big Data Analytics Essentials,,,,"This course offers a deep dive into Train of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Train practices.",2,
KCA0102,Facility System User Training,,,,"This course offers a deep dive into Facility System, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Facility practices.",2,
PDA0002,HRMIS Application Knowledge & Experience (SHARE) Assist Program,,,,"This course offers a deep dive into HRMIS Application, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of HRMIS practices.",2,
PDA0001,HRMIS Application Knowledge & Experience (SHARE) HRMIS Application Application Program,,,,"This course offers a deep dive into HRMIS Application, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of HRMIS practices.",2,
CCA0048,Effective communication of the northern zone,,,,"This course offers a deep dive into Effective communication, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Effective practices.",2,
CCA0036,Improvement of Live Streaming Video Usage Skills,,,,"This course offers a deep dive into Improvement of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Improvement practices.",2,
CCA0033,Infographic enhancement,,,,"Explore the nuances of Infographic enhancement with a detailed curriculum designed to cover both foundational and advanced concepts, catering to learners who wish to excel in this area.",2,
AAA0026,DIMS Implementation Coordination Workshop on Agricultural Technical Management (UPSKILLING) Agriculture Department,,,,"This course offers a deep dive into DIMS Implementation, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of DIMS practices.",2,
PDA0003,Sharing HRMIS Application Knowledge & Experience (Share) Assist (Targit 2021 software installation),,,,"This course offers a deep dive into Sharing HRMIS, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Sharing practices.",2,
BZA0060,"Advance Presentation Google Slide, Vism, Prezi & Sozi",,,,"This course offers a deep dive into Advance Presentation, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Advance practices.",2,
CCA0053,Infographic Production of Department of Agriculture,,,,"This course offers a deep dive into Infographic Production, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Infographic practices.",2,
KCA0137,Industrial Revolution (IR) 4.0 Cultural Cultural Workshop,,,,"This course offers a deep dive into Industrial Revolution, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Industrial practices.",2,
DDA0073,Google Workspace skills in information management,,,,"This course offers a deep dive into Google Workspace, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Google practices.",2,
KCA0016,ICT project management,,,,"This course offers a deep dive into ICT project, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of ICT practices.",3,
KCA0024,Agile essentials,,,,"Explore the nuances of Agile essentials with a detailed curriculum designed to cover both foundational and advanced concepts, catering to learners who wish to excel in this area.",3,
KCA0032,Agile Project Management Foundation,,,,"This course offers a deep dive into Agile Project, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Agile practices.",3,
KCA0042,IR4.0 - IT SYSTEM INTEGRATION,,,,"This course offers a deep dive into IR4.0 -, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of IR4.0 practices.",3,
KCA0066,COMPTIA PROJECT +,,,,"This course offers a deep dive into COMPTIA PROJECT, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of COMPTIA practices.",3,
KCB0016,Workshop on ILMS System Requirements Workshop,,,,"This course offers a deep dive into Workshop on, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Workshop practices.",3,
DDA0019,"Advance Presentation Google Slide, Vism, Prezi & Sozi",,,,"This course offers a deep dive into Advance Presentation, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Advance practices.",3,
KCA0098,Governance and Implementation Planning Workshop 2023 for the Digital Government Competency Development Project (DGCD),,,,"This course offers a deep dive into Governance and, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Governance practices.",3,
KCA0114,Introduction to Project Management and ICT Governance,,,,"This course offers a deep dive into Introduction to, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Introduction practices.",3,
KCA0112,Material Development Training,,,,"This course offers a deep dive into Material Development, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Material practices.",3,
BZA0070,Google Dashboard,,,,"Explore the nuances of Google Dashboard with a detailed curriculum designed to cover both foundational and advanced concepts, catering to learners who wish to excel in this area.",3,
KCA0004,Needs Collection Workshop for Application System,,,,"This course offers a deep dive into Needs Collection, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Needs practices.",4,
KCA0001,Basic Workshop of system engineering engineering,,,,"This course offers a deep dive into Basic Workshop, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Basic practices.",4,
