course_code,course_url,kod_kursus,nama_kursus
CFBEF0AqdZvhgsE2,https://www.dtims.intan.my/detail_course/CFBEF0AqdZvhgsE2,KLA1004,[ KLA1004 ] Advanced Leadership and Management Programme (ALMP) [ Siri 4/2024 ]
RGE9Ag7kCNwal7ly,https://www.dtims.intan.my/detail_course/RGE9Ag7kCNwal7ly,EAA0043,[ EAA0043 ] KURSUS PENGURUSAN SECARA SISTEMATIK DALAM PENINGKATAN DAN KECEKAPAN PRODUKTIVITI TERNAKAN RUMINAN KECIL (TERBUKA) [ Siri 1/2024 ]
Fj8f6G3nXiSdLQfT,https://www.dtims.intan.my/detail_course/Fj8f6G3nXiSdLQfT,KEA0022,[ KEA0022 ] BENGKEL PERSEDIAAN PENSIJILAN TAHAP 2 ANTI BRIBERY MANAGEMENT SYSTEM MS ISO 37001: 2016 [ Siri 1/2024 ]
W4TJKyCkfQL2NpTM,https://www.dtims.intan.my/detail_course/W4TJKyCkfQL2NpTM,TZA0058,[ TZA0058 ] KURSUS PENERAPAN EMPATI PENJAWAT AWAM [ Siri 3/2024 ]
p92BDfxeE1MTDGDz,https://www.dtims.intan.my/detail_course/p92BDfxeE1MTDGDz,TZA0067,[ TZA0067 ] KURSUS PENGENALAN PENGURUSAN KEWANGAN AWAM [ Siri 1/2024 ]
Xhqa6jQ44CSyTMWT,https://www.dtims.intan.my/detail_course/Xhqa6jQ44CSyTMWT,IEA0004,[ IEA0004 ] KURSUS PENGENDALIAN KREN KAMERA PRODUKSI TV [ Siri 1/2024 ]
odSCLQjFM5JzGu5w,https://www.dtims.intan.my/detail_course/odSCLQjFM5JzGu5w,BZA0074,[ BZA0074 ] Kursus Suntingan Video [ Siri 1/2024 ]
EYrQa6ano2nHaAh1,https://www.dtims.intan.my/detail_course/EYrQa6ano2nHaAh1,UZA0071,[ UZA0071 ] Creative Content Creator [ Siri 1/2024 ]
QlmPrwkeN3XccSfu,https://www.dtims.intan.my/detail_course/QlmPrwkeN3XccSfu,BZA0073,[ BZA0073 ] Kursus Rekabentuk Grafik dan Penyuntingan Foto (Canva) [ Siri 1/2024 ]
NK0r2N0b7V7wkepI,https://www.dtims.intan.my/detail_course/NK0r2N0b7V7wkepI,FZA0010,[ FZA0010 ] Kursus Asas Keusahawanan [ Siri 1/2024 ]
wVyqcr3cyyjGXxEh,https://www.dtims.intan.my/detail_course/wVyqcr3cyyjGXxEh,BZA0040,"[ BZA0040 ] Kursus Penulisan Dokumen Rasmi Kerajaan (Surat Rasmi, Memo dan E-Mel) [ Siri 1/2024 ]"
iXVa7dvyawOCNWa5,https://www.dtims.intan.my/detail_course/iXVa7dvyawOCNWa5,KBA0024,[ KBA0024 ] Kursus Asas Penulisan Teks Ucapan Kerajaan [ Siri 1/2024 ]
0HHkXQKDjz8dXMt7,https://www.dtims.intan.my/detail_course/0HHkXQKDjz8dXMt7,WZA0027,[ WZA0027 ] Berfikir di Luar Kotak [ Siri 3/2024 ]
U2z8V8AlB5zKi2ob,https://www.dtims.intan.my/detail_course/U2z8V8AlB5zKi2ob,DDA0067,[ DDA0067 ] Kursus Pengurusan Fertigasi Sayur Buah [ Siri 1/2024 ]
hv0w4RO49fO38Dmh,https://www.dtims.intan.my/detail_course/hv0w4RO49fO38Dmh,EEA0082,[ EEA0082 ] TEKNOLOGI PENGHASILAN MADU KELULUT BERKUALITI TINGGI [ Siri 1/2024 ]
eJ2tiUJuF6Gpr4Zu,https://www.dtims.intan.my/detail_course/eJ2tiUJuF6Gpr4Zu,BZA0080,[ BZA0080 ] Kursus Pembudayaan HEMAT Penjawat Awam [ Siri 1/2024 ]
P82Aul8sGyUq1Ugj,https://www.dtims.intan.my/detail_course/P82Aul8sGyUq1Ugj,ICA0012,[ ICA0012 ] REPURPOSE CONTENT FOR MULTIPLATFORM [ Siri 1/2024 ]
z4TJB26mMJha19B4,https://www.dtims.intan.my/detail_course/z4TJB26mMJha19B4,ISA0001,[ ISA0001 ] KURSUS KOMUNIKASI STRATEGIK GSPI [ Siri 1/2024 ]
fLuK3saIlSl4KU98,https://www.dtims.intan.my/detail_course/fLuK3saIlSl4KU98,KEA0010,[ KEA0010 ] Kursus Penyediaan Teks Dan Bacaan Doa [ Siri 2/2024 ]
0fmC89J4zTx03QEn,https://www.dtims.intan.my/detail_course/0fmC89J4zTx03QEn,KLA0006,[ KLA0006 ] Kursus Post-Normal Leadership [ Siri 2/2024 ]
iGbRdvLP97tRSimQ,https://www.dtims.intan.my/detail_course/iGbRdvLP97tRSimQ,TZA0009,[ TZA0009 ] Kursus Pengurusan Perolehan Kerajaan [ Siri 3/2024 ]
r8sDFeyg9Qdd7tRQ,https://www.dtims.intan.my/detail_course/r8sDFeyg9Qdd7tRQ,WZA0012,[ WZA0012 ] Kursus Audit Dalam Ekosistem Kondusif Sektor Awam (EKSA) [ Siri 3/2024 ]
ZROA7nE6J4H6pfNK,https://www.dtims.intan.my/detail_course/ZROA7nE6J4H6pfNK,DDA0080,[ DDA0080 ] Kursus Fotografi & Videografi Menggunakan Dron [ Siri 1/2024 ]
Qx4wqSk0dmHxMzrv,https://www.dtims.intan.my/detail_course/Qx4wqSk0dmHxMzrv,TZA0064,[ TZA0064 ] Kursus Application of AI Prompting in Office [ Siri 1/2024 ]
VL8QGtNRzFL8Y4tF,https://www.dtims.intan.my/detail_course/VL8QGtNRzFL8Y4tF,BZA0072,[ BZA0072 ] Kursus Chat GPT [ Siri 1/2024 ]
dZmHKPF3Xj2wgb0n,https://www.dtims.intan.my/detail_course/dZmHKPF3Xj2wgb0n,CCA0076,[ CCA0076 ] Kesedaran Kepentingan Kesihatan Emosi di Tempat Kerja & Kehidupan Harian Zon Utara [ Siri 1/2024 ]
aNB8vVzFMYOltztJ,https://www.dtims.intan.my/detail_course/aNB8vVzFMYOltztJ,DDA0078,[ DDA0078 ] Kursus Diagnostik Tanaman Buah-Buahan [ Siri 1/2024 ]
TfT9Seg1GGptiHc1,https://www.dtims.intan.my/detail_course/TfT9Seg1GGptiHc1,WZA0045,[ WZA0045 ] Etika Kerja: Gamifikasi [ Siri 1/2024 ]
ugcAwYlgkzGdQejB,https://www.dtims.intan.my/detail_course/ugcAwYlgkzGdQejB,IIA0073,[ IIA0073 ] Kursus Pertanian Pintar IOT Pertanian [ Siri 1/2024 ]
bfTT9zjUVP6PF4sA,https://www.dtims.intan.my/detail_course/bfTT9zjUVP6PF4sA,ICA0013,[ ICA0013 ] AI PHOTOGRAPHY [ Siri 1/2024 ]
6M96MtdLLmSBOn9P,https://www.dtims.intan.my/detail_course/6M96MtdLLmSBOn9P,IEA0024,[ IEA0024 ] KURSUS PENGOPERASIAN SISTEM LINE ARRAY [ Siri 1/2024 ]
WfcCyoGqnzCKQAun,https://www.dtims.intan.my/detail_course/WfcCyoGqnzCKQAun,FZA0005,[ FZA0005 ] Faedah dan Pengurusan Persaraan - Apa Bakal Pesara Perlu Tahu? [ Siri 4/2024 ]
WDpCfjIfdDtAtrO6,https://www.dtims.intan.my/detail_course/WDpCfjIfdDtAtrO6,KNA0022,[ KNA0022 ] Kursus Pengurusan Pelanggan [ Siri 2/2024 ]
lhgDFbXe2FjJcdei,https://www.dtims.intan.my/detail_course/lhgDFbXe2FjJcdei,IEA0013,[ IEA0013 ] KURSUS PENYELIAAN PRODUKSI TEKNIKAL TV [ Siri 1/2024 ]
0zLLp3ii9yRHxWjG,https://www.dtims.intan.my/detail_course/0zLLp3ii9yRHxWjG,CCA0075,[ CCA0075 ] Kursus Management Tools [ Siri 1/2024 ]
klzNI8GPMJUAsb0v,https://www.dtims.intan.my/detail_course/klzNI8GPMJUAsb0v,WZA0040,"[ WZA0040 ] Protokol, Etiket Sosial dan Pengurusan Majlis [ Siri 2/2024 ]"
hCRQmzAcXAo0DpQB,https://www.dtims.intan.my/detail_course/hCRQmzAcXAo0DpQB,KPA0001,[ KPA0001 ] Kursus Masterclass in Public Policy Making [ Siri 2/2024 ]
DHubqz9fApgfYAgV,https://www.dtims.intan.my/detail_course/DHubqz9fApgfYAgV,KPA0003,[ KPA0003 ] Masterclass on Civil Service Collaboration [ Siri 2/2024 ]
w4KuauAlKXG4Uffb,https://www.dtims.intan.my/detail_course/w4KuauAlKXG4Uffb,ICB0004,[ ICB0004 ] EI IN AN AI WORLD: WHY EMOTIONAL INTELLIGENCE IS CRITICAL FOR LEADERSHIP? [ Siri 1/2024 ]
oJxJRARMQ24FBNSe,https://www.dtims.intan.my/detail_course/oJxJRARMQ24FBNSe,TZA0015,[ TZA0015 ] Kursus MyPortfolio: Panduan Kerja Sektor Awam [ Siri 3/2024 ]
sLjkJkd5RL3NAyFp,https://www.dtims.intan.my/detail_course/sLjkJkd5RL3NAyFp,IIA0074,[ IIA0074 ] Kursus Kemahiran Komunikasi Pengembangan Berkesan Zon Tengah [ Siri 1/2024 ]
xDVYpatL9GOPFldl,https://www.dtims.intan.my/detail_course/xDVYpatL9GOPFldl,KCA0096,[ KCA0096 ] Kursus Internet of Things (Tahap Asas) [ Siri 1/2024 ]
IHMkgLZ6zVME7t71,https://www.dtims.intan.my/detail_course/IHMkgLZ6zVME7t71,KNA0006,"[ KNA0006 ] Kursus Protokol, Etiket Sosial Dan Pengurusan Majlis [ Siri 1/2024 ]"
