course_code,course_url,kod_kursus,nama_kursus,course_image_url
Xhqa6jQ44CSyTMWT,https://www.dtims.intan.my/detail_course/Xhqa6jQ44CSyTMWT,IEA0004,[ IEA0004 ] KURSUS PENGENDALIAN KREN KAMERA PRODUKSI TV [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240226114732.jpeg
odSCLQjFM5JzGu5w,https://www.dtims.intan.my/detail_course/odSCLQjFM5JzGu5w,BZA0074,[ BZA0074 ] Kursus Suntingan Video [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240612174828.jpeg
EYrQa6ano2nHaAh1,https://www.dtims.intan.my/detail_course/EYrQa6ano2nHaAh1,UZA0071,[ UZA0071 ] Creative Content Creator [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240117082427.jpeg
QlmPrwkeN3XccSfu,https://www.dtims.intan.my/detail_course/QlmPrwkeN3XccSfu,BZA0073,[ BZA0073 ] Kursus Rekabentuk Grafik dan Penyuntingan Foto (Canva) [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240612111036.png
NK0r2N0b7V7wkepI,https://www.dtims.intan.my/detail_course/NK0r2N0b7V7wkepI,FZA0010,[ FZA0010 ] Kursus Asas Keusahawanan [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240715164033.jpeg
wVyqcr3cyyjGXxEh,https://www.dtims.intan.my/detail_course/wVyqcr3cyyjGXxEh,BZA0040,"[ BZA0040 ] Kursus Penulisan Dokumen Rasmi Kerajaan (Surat Rasmi, Memo dan E-Mel) [ Siri 1/2024 ]",https://admin.dtims.intan.my/upload/banner/bn-20240110093428.png
iXVa7dvyawOCNWa5,https://www.dtims.intan.my/detail_course/iXVa7dvyawOCNWa5,KBA0024,[ KBA0024 ] Kursus Asas Penulisan Teks Ucapan Kerajaan [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240103083302.png
0HHkXQKDjz8dXMt7,https://www.dtims.intan.my/detail_course/0HHkXQKDjz8dXMt7,WZA0027,[ WZA0027 ] Berfikir di Luar Kotak [ Siri 3/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240219112956.jpeg
U2z8V8AlB5zKi2ob,https://www.dtims.intan.my/detail_course/U2z8V8AlB5zKi2ob,DDA0067,[ DDA0067 ] Kursus Pengurusan Fertigasi Sayur Buah [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240527154621.jpeg
P82Aul8sGyUq1Ugj,https://www.dtims.intan.my/detail_course/P82Aul8sGyUq1Ugj,ICA0012,[ ICA0012 ] REPURPOSE CONTENT FOR MULTIPLATFORM [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240807091549.png
L7p9mD9Di2jBdAg0,https://www.dtims.intan.my/detail_course/L7p9mD9Di2jBdAg0,ISA0007,[ ISA0007 ] KURSUS EFFECTIVE CONTENT CREATOR (TIK TOK) [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240710112723.png
z4TJB26mMJha19B4,https://www.dtims.intan.my/detail_course/z4TJB26mMJha19B4,ISA0001,[ ISA0001 ] KURSUS KOMUNIKASI STRATEGIK GSPI [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240919083100.jpeg
fLuK3saIlSl4KU98,https://www.dtims.intan.my/detail_course/fLuK3saIlSl4KU98,KEA0010,[ KEA0010 ] Kursus Penyediaan Teks Dan Bacaan Doa [ Siri 2/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240902151849.jpeg
0fmC89J4zTx03QEn,https://www.dtims.intan.my/detail_course/0fmC89J4zTx03QEn,KLA0006,[ KLA0006 ] Kursus Post-Normal Leadership [ Siri 2/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240819093857.jpeg
iGbRdvLP97tRSimQ,https://www.dtims.intan.my/detail_course/iGbRdvLP97tRSimQ,TZA0009,[ TZA0009 ] Kursus Pengurusan Perolehan Kerajaan [ Siri 3/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240812164908.png
r8sDFeyg9Qdd7tRQ,https://www.dtims.intan.my/detail_course/r8sDFeyg9Qdd7tRQ,WZA0012,[ WZA0012 ] Kursus Audit Dalam Ekosistem Kondusif Sektor Awam (EKSA) [ Siri 3/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240611124016.jpeg
