domain_id,domain_name
1,Self and Character Development
3,Language
5,Leadership
6,Communication
8,ICT (Information and Communication Technology)
9,Economy
10,Business
11,Policy
12,Management
13,Training Development
14,Research
15,Case Study
16,Finance
43,Innovation and Creativity
45,Safety
50,"Science, Technology, and Engineering"
51,Agriculture
53,Health
54,Psychology
55,Creative Arts
57,Governance
58,Publishing
59,International Relations
60,Food Industry
61,Veterinary
62,Fisheries
63,Animal Quarantine Management
64,Broadcasting
