subdomain_id,subdomain_name,subdomain_name_BM,skills,domain_id
1,ICT Strategic Management,Pengurusan Strategik ICT,"ICT Policy Development, Strategic Planning, IT Governance, Enterprise Architecture, Business Process Management, Risk Management, Change Management, Performance Measurement",8
2,Information Management,Pengurusan Maklumat,"Data Governance, Information Architecture, Metadata Management, Document Management Systems, Data Quality Management, Records Management, Knowledge Management, Information Security",8
3,ICT Project Management,Pengurusan Projek ICT,"Project Planning, Budget Management, Stakeholder Management, Risk Management, Agile Methodologies, Quality Assurance, Resource Allocation, Project Lifecycle Management",8
4,System Development,Pembangunan Sistem,"Software Development Life Cycle (SDLC), Object-Oriented Programming, Database Design, System Analysis and Design, Agile Development, Version Control Systems, API Development, Testing and Debugging",8
5,Database Management,Pengurusan Pangkalan Data,"SQL, Database Design and Modeling, Database Security, Backup and Recovery, Data Warehousing, Performance Tuning, NoSQL Databases, ETL Processes",8
6,Data Center Management,Pengurusan Pusat Data,"Data Center Infrastructure Management (DCIM), Network Administration, Virtualization, Backup and Disaster Recovery, Data Center Security, Server Management, Cloud Computing, Environmental Monitoring",8
7,ICT Security Management,Pengurusan Keselamatan ICT,"Cybersecurity Policies, Network Security, Incident Response, Security Auditing, Identity and Access Management, Encryption Technologies, Vulnerability Assessment, Compliance and Regulatory Requirements",8
8,Network Management,Pengurusan Rangkaian,"Network Design and Implementation, Network Monitoring and Troubleshooting, Wireless Networking, Network Security, Routing and Switching, WAN Technologies, VoIP, Network Performance Optimization",8
13,Change Management,Perubahan,"Change leadership, strategic planning, stakeholder management, communication skills",12
14,Crisis and Conflict Management,Krisis Dan Konflik,"Crisis communication, negotiation, problem-solving, emotional intelligence",12
35,Confidence Building,Keyakinan Diri,"Public Speaking, Self-Esteem Enhancement, Personal Branding, Effective Communication, Stress Management",1
37,Import & Export,Import Eksport,"Supply Chain Management in Malaysian Context, Customs Compliance with Malaysian Regulations, International Trade Regulations (Malaysian Perspective), Logistics Coordination for Public Services, Risk Management in Public Procurement ,Export Documentation in Malaysian Public Sector, International Marketing for Malaysian Public Services, Trade Finance for Government Agencies, Market Research for Public Sector Export Initiatives, Negotiation Skills for Government Officials",10
41,Asset and Store Management,Pengurusan Aset dan Stor,"Asset management, Inventory control, Financial reporting, Supply chain management, Asset valuation",16
42,Finance,Kewangan,"Financial analysis, Budgeting, Risk management, Financial forecasting, Investment analysis",16
48,Procurement,Perolehan,"Supplier management, Contract negotiation, Procurement strategies, Cost analysis, Vendor relationship management",16
49,Malay Language,Bahasa Melayu,"Proficiency in Official Communication, Advanced Vocabulary in Government Terminology, Public Speaking Skills, Listening Comprehension in Formal Settings, Official Report Writing Skills",3
